datetime,AAPL,GOOG,cash,commission,total,comission,returns,equity_curve,drawdown
2019-11-20,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-21,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-22,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-25,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-26,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-27,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-11-29,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-02,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-03,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-04,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-05,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-06,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-09,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-10,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-11,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-12,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-13,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-16,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-17,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-18,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-19,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-20,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-23,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-24,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-26,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-27,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-30,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2019-12-31,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-02,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-03,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-06,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-07,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-08,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-09,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-10,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-13,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-14,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-15,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-16,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-17,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-21,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-22,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-23,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-24,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-27,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-28,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-29,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-30,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-01-31,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-03,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-04,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-05,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-06,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-07,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-10,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-11,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-12,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-13,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
2020-02-14,0.0,0.0,100.0,,100.0,0.0,0.0,1.0,0.0
